timestamp,shoulder_lift_joint_pos,elbow_joint_pos,wrist_1_joint_pos,wrist_2_joint_pos,wrist_3_joint_pos,shoulder_pan_joint_pos,shoulder_lift_joint_vel,elbow_joint_vel,wrist_1_joint_vel,wrist_2_joint_vel,wrist_3_joint_vel,shoulder_pan_joint_vel,shoulder_lift_joint_eff,elbow_joint_eff,wrist_1_joint_eff,wrist_2_joint_eff,wrist_3_joint_eff,shoulder_pan_joint_eff,pose_x,pose_y,pose_z,pose_qx,pose_qy,pose_qz,pose_qw
1751354846.8408203,-1.730476393,-1.747762755,-1.07008909,1.206442939,1.346535655,-0.649632017,0.073193104,0.112041112,0.011050222,-0.5,0.443838352,-0.09016268,4.440832772,4.078319326,0.311496955,-0.029039806,2.273e-06,-0.000665376,0.4850125687787865,-0.6392802033605977,0.5089467150321871,0.22140499105669822,0.9549260981108127,-0.19769783605607985,-0.003397455045323357
1751354846.8426683,-1.730330007,-1.747538672,-1.07006699,1.205442939,1.347423332,-0.649812342,0.073193104,0.112041112,0.011050222,-0.5,0.443838352,-0.09016268,4.440255423,4.078810033,0.311502627,-0.02911401,2.27e-06,-0.000661855,0.4848385959923392,-0.6394598041234737,0.5092552705757831,0.2219665197960999,0.9546878539927841,-0.19821865717900702,-0.0033659284620033555
1751354846.8446543,-1.730183621,-1.74731459,-1.070044889,1.204442939,1.348311008,-0.649992667,0.073193104,0.112041112,0.011050222,-0.5,0.443838352,-0.09016268,4.439677552,4.079300136,0.311508215,-0.029188171,2.268e-06,-0.000658334,0.48466448209016716,-0.6396392405949213,0.50956395406361,0.22252798115267192,0.9544489692462216,-0.1987393940880907,-0.0033340585537349437
1751354846.8580434,-1.730037235,-1.747090508,-1.070022789,1.203442939,1.349198685,-0.650172993,0.073193104,0.112041112,0.011050222,-0.5,0.443838352,-0.09016268,4.439099158,4.079789633,0.31151372,-0.029262288,2.265e-06,-0.000654812,0.4844902265515257,-0.6398185130940559,0.5098727657818969,0.22308937575407367,0.9542094435872677,-0.19926004619277016,-0.0033018458155795643
1751354846.8580964,-1.729598076,-1.746418261,-1.069956487,1.200442939,1.351861715,-0.650713969,0.073193104,0.112041112,0.011050222,-0.5,0.443838352,-0.09016268,4.437360839,4.081254492,0.311529734,-0.029484378,2.257e-06,-0.000644244,0.48396661613614667,-0.6403553410075072,0.5107999716829935,0.22477314543349006,0.9534870221372548,-0.20082149176252975,-0.0032031475203861287
1751354846.8581147,-1.729598076,-1.746418261,-1.069956487,1.200442939,1.351861715,-0.650713969,0.073193104,0.112041112,0.011050222,-0.5,0.443838352,-0.09016268,4.437360839,4.081254492,0.311529734,-0.029484378,2.257e-06,-0.000644244,0.48396661613614667,-0.6403553410075072,0.5107999716829935,0.22477314543349006,0.9534870221372548,-0.20082149176252975,-0.0032031475203861287
1751354846.8597708,-1.729305304,-1.745970097,-1.069912286,1.198442939,1.353637068,-0.651074619,0.073193104,0.112041112,0.011050222,-0.5,0.443838352,-0.09016268,4.436199345,4.082228034,0.311539991,-0.029632219,2.251e-06,-0.000637196,0.48361683903760805,-0.6407123997964399,0.5114187476155789,0.22589530652328654,0.9530022041774071,-0.2018620249392915,-0.003135635687187849
1751354846.8607755,-1.729305304,-1.745970097,-1.069912286,1.198442939,1.353637068,-0.651074619,0.073193104,0.112041112,0.011050222,-0.5,0.443838352,-0.09016268,4.436199345,4.082228034,0.311539991,-0.029632219,2.251e-06,-0.000637196,0.48361683903760805,-0.6407123997964399,0.5114187476155789,0.22589530652328654,0.9530022041774071,-0.2018620249392915,-0.003135635687187849
1751354846.8630035,-1.729158917,-1.745746014,-1.069890186,1.197442939,1.354524745,-0.651254945,0.073193104,0.112041112,0.011050222,-0.5,0.443838352,-0.09016268,4.435617813,4.082713896,0.311544994,-0.029706073,2.249e-06,-0.000633672,0.48344173871002843,-0.6408906810850526,0.5117283285116315,0.22645628030679857,0.9527588337621755,-0.20238216158999897,-0.0031013654908026438
1751354846.864907,-1.729012531,-1.745521932,-1.069868086,1.196442939,1.355412422,-0.65143527,0.073193104,0.112041112,0.011050222,-0.5,0.443838352,-0.09016268,4.435035758,4.083199152,0.311549913,-0.029779882,2.246e-06,-0.000630147,0.4832664984163119,-0.641068795937597,0.5120380354994651,0.22701718075326147,0.9525148227916963,-0.20290221049998944,-0.0030667538476743003
1751354846.8666751,-1.728866145,-1.74529785,-1.069845985,1.195442939,1.356300099,-0.651615596,0.073193104,0.112041112,0.011050222,-0.5,0.443838352,-0.09016268,4.434453179,4.0836838,0.311554748,-0.029853647,2.243e-06,-0.000626621,0.483091116938791,-0.64124674511354,0.5123478700459404,0.22757800833518171,0.9522701708566732,-0.20342217187161257,-0.0030317997675231236
1751354846.8686666,-1.728719759,-1.745073768,-1.069823885,1.194442939,1.357187775,-0.651795921,0.073193104,0.112041112,0.011050222,-0.5,0.443838352,-0.09016268,4.433870076,4.084167843,0.311559499,-0.029927368,2.241e-06,-0.000623095,0.48291559546199087,-0.6414245273155825,0.5126578317595114,0.22813876073628986,0.9520248784178614,-0.20394204491908874,-0.002996504194285289
1751354846.870561,-1.728573373,-1.744849686,-1.069801784,1.193442939,1.358075452,-0.651976246,0.073193104,0.112041112,0.011050222,-0.5,0.443838352,-0.09016268,4.43328645,4.084651278,0.311564166,-0.030001044,2.238e-06,-0.000619569,0.4827399335233786,-0.6416021429067672,0.5129679207937424,0.22869943882420904,0.951778945012217,-0.20446182964991183,-0.0029608662808817453
1751354846.8758824,-1.728426986,-1.744625603,-1.069779684,1.192442939,1.358963129,-0.652156572,0.073193104,0.112041112,0.011050222,-0.5,0.443838352,-0.09016268,4.4327023,4.085134106,0.311568748,-0.030074676,2.235e-06,-0.000616042,0.48256413033642276,-0.6417795920026732,0.5132781382064586,0.22926004187449867,0.9515323706386617,-0.20498152567029837,-0.002924886382140377
1751354846.8760443,-1.728426986,-1.744625603,-1.069779684,1.192442939,1.358963129,-0.652156572,0.073193104,0.112041112,0.011050222,-0.5,0.443838352,-0.09016268,4.4327023,4.085134106,0.311568748,-0.030074676,2.235e-06,-0.000616042,0.48256413033642276,-0.6417795920026732,0.5132781382064586,0.22926004187449867,0.9515323706386617,-0.20498152567029837,-0.002924886382140377
1751354846.876635,-1.7282806,-1.744401521,-1.069757583,1.191442939,1.359850805,-0.652336897,0.073193104,0.112041112,0.011050222,-0.5,0.443838352,-0.09016268,4.432117626,4.085616327,0.311573246,-0.030148262,2.232e-06,-0.000612514,0.48238818745810413,-0.6419568735903258,0.513588481251289,0.22982056757065183,0.9512851557641536,-0.20550113219629107,-0.002888565442555864
1751354846.8787184,-1.728134214,-1.744177439,-1.069735483,1.190442939,1.360738482,-0.652517222,0.073193104,0.112041112,0.011050222,-0.5,0.443838352,-0.09016268,4.431532429,4.086097941,0.31157766,-0.030221804,2.23e-06,-0.000608986,0.4822121041033115,-0.6421339877862607,0.5138989509854528,0.23038101661463403,0.9510373000473943,-0.206020648840197,-0.0028519035107077715
